Timestamp,Sample,REG_6D,TIA1-3_RAW,TIA1-3_VALUE,TIA1-5_RAW,TIA1-5_VALUE,TIA1-8_RAW,TIA1-8_VALUE,TIA1-10_RAW,TIA1-10_VALUE
98046.875000,251,0x00001F,950586,0.543930,1241796,0.710561,949674,0.543408,468188,0.267899
98437.500000,252,0x00001F,950832,0.544070,1242063,0.710714,949781,0.543469,468189,0.267900
98828.125000,253,0x00001F,950791,0.544047,1241830,0.710581,950016,0.543604,468236,0.267927
99218.750000,254,0x00001F,951160,0.544258,1242007,0.710682,949854,0.543511,468135,0.267869
99609.375000,255,0x00001F,951080,0.544212,1242081,0.710724,949696,0.543420,468255,0.267938
100000.000000,256,0x00001F,950938,0.544131,1242190,0.710787,950046,0.543621,468408,0.268025
100390.625000,257,0x00001F,950840,0.544075,1241870,0.710604,949761,0.543458,468307,0.267967
100781.250000,258,0x00001F,951121,0.544236,1242212,0.710799,950291,0.543761,468371,0.268004
101171.875000,259,0x00001F,951102,0.544225,1241954,0.710652,949843,0.543505,468233,0.267925
101562.500000,260,0x00001F,951026,0.544181,1241951,0.710650,949840,0.543503,468299,0.267963
101953.125000,261,0x00001F,951097,0.544222,1242200,0.710793,949841,0.543503,468111,0.267855
102343.750000,262,0x00001F,951174,0.544266,1242063,0.710714,950016,0.543604,468313,0.267971
102734.375000,263,0x00001F,950909,0.544115,1242181,0.710782,950169,0.543691,468245,0.267932
103125.000000,264,0x00001F,950988,0.544160,1242050,0.710707,950292,0.543761,468346,0.267990
103515.625000,265,0x00001F,950687,0.543988,1241829,0.710580,949900,0.543537,468139,0.267871
103906.250000,266,0x00001F,950994,0.544163,1242076,0.710722,949926,0.543552,468119,0.267860
104296.875000,267,0x00001F,950860,0.544086,1242225,0.710807,950240,0.543732,468478,0.268065
104687.500000,268,0x00001F,950854,0.544083,1242095,0.710732,950034,0.543614,468387,0.268013
105078.125000,269,0x00001F,951003,0.544168,1241550,0.710421,949824,0.543494,468175,0.267892
105468.750000,270,0x00001F,950764,0.544032,1242020,0.710690,949563,0.543344,468294,0.267960
105859.375000,271,0x00001F,950982,0.544156,1242098,0.710734,949980,0.543583,468189,0.267900
106250.000000,272,0x00001F,950851,0.544081,1242060,0.710712,950141,0.543675,468044,0.267817
106640.625000,273,0x00001F,950829,0.544069,1242188,0.710786,949898,0.543536,468006,0.267795
107031.250000,274,0x00001F,950880,0.544098,1242017,0.710688,949952,0.543567,467957,0.267767
107421.875000,275,0x00001F,950949,0.544137,1241827,0.710579,949804,0.543482,468306,0.267967
107812.500000,276,0x00001F,950760,0.544029,1242030,0.710695,949931,0.543555,468297,0.267962
108203.125000,277,0x00001F,951056,0.544199,1242177,0.710779,949947,0.543564,468152,0.267879
108593.750000,278,0x00001F,950759,0.544029,1242117,0.710745,950151,0.543681,468172,0.267890
108984.375000,279,0x00001F,950846,0.544078,1242106,0.710739,949960,0.543571,468500,0.268078
109375.000000,280,0x00001F,950932,0.544128,1242012,0.710685,949783,0.543470,468404,0.268023
109765.625000,281,0x00001F,950761,0.544030,1241894,0.710617,949868,0.543519,468511,0.268084
110156.250000,282,0x00001F,950791,0.544047,1242159,0.710769,949938,0.543559,468089,0.267843
